"","Checked","Ion","Charge","Molecular.Weight","m.z","RT..min.","FWHM..min.","X..MI","Area","Parent.Area....","Study.File.ID","X.","beginNum","scanNum","tr","pepmass","endNum","productIon","intensity","neutralLoss","Hex","dHex","Pen","HexA","Mal","Cou","Fur","Sin","DDMP","Caf","mzOfChain","ppm","numOfSugar","k.radio","lable","Algycone"
"223","...","...","...","...","...","...","...","...","...","...","...","...","61459","742","3706","445.114013671875","62079","283.061","0.295354","162.053",1,0,0,0,0,0,0,0,0,0,162.0528233,1.00196780889389,1,1," ","2-Hydroxyformononetin / Wogonin / 5-Hydroxy-3-(4-Methoxyphenyl)-7-[3,4,5-Trihydroxy-6-[(3,4,5-Trihydroxy-6-Methyloxan-2-Yl)Oxymethyl]Oxan-2-Yl]Oxychromen-4-One-Aglycone / 7-O-Beta-Glucopyranosyl-4'-Hydroxy-5-Methoxyisoflavone-Aglycone / 3-(4-Hydroxyphenyl)-7-Methoxy-5-[(3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxychromen-4-One-Aglycone / Trifolirhizin-Aglycone"
"315","...","...","...","...","...","...","...","...","...","...","...","...","61459","742","3706","445.114013671875","62079","299.0564","0.1202937","146.0576",0,1,0,0,0,0,0,0,0,0,146.0579087,2.16372267407378,1,1," ","Diosmetin / Hispidulin / Hydroxygenkwanin / Sorbifolin / Tectorigenine / 7-[(2S,3R,4S,5S,6R)-4,5-Dihydroxy-6-(Hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxyoxan-2-Yl]Oxy-5-Hydroxy-2-(4-Hydroxy-3-Methoxyphenyl)Chromen-4-One-Aglycone / 5-Hydroxy-2-(4-Methoxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxy-7-[(2S,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxychromen-4-One-Aglycone / 5-Hydroxy-3-[(2S,3R,4S,5S)-4-Hydroxy-5-(Hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-Trihydroxy-6-Methyloxan-2-Yl]Oxyoxolan-2-Yl]Oxy-2-(4-Hydroxyphenyl)-7-Methoxychromen-4-One-Aglycone / 4-(3,4-Dihydroxyphenyl)-7-Methoxy-5-[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-[[(2S,3R,4S,5R)-3,4,5-Trihydroxyoxan-2-Yl]Oxymethyl]Oxan-2-Yl]Oxychromen-2-One-Aglycone"
"1701","false","[M-H]-1","-1","NA","579.171936035156","62.0166666666667","0.142","3","227241.644436151","100","F2","","62080","745","3721","579.1719360351562","62342","271.0613","1","308.1107",1,1,0,0,0,0,0,0,0,0,308.110732,0.227076996616021,2,0.5,"Biggest NL (One)","Glycinol / Pinobanksin / (2S)-Naringenin / 1-Phenyl-3-(2,4,6-Trihydroxyphenyl)Propane-1,3-Dione / 2,4',7-Trihydroxyisoflavanone / 2,5,7-Trihydroxyflavanone / Naringenin Chalcone / P-Coumaroyltriacetic Acid Lactone"
"171","...","...","...","...","...","...","...","...","...","...","...","...","62080","745","3721","579.1719360351562","62342","285.077","0.02034657","294.095",1,0,1,0,0,0,0,0,0,0,294.0950819,0.336166373047183,2,0.5," ","2,7-Dihydroxy-4'-Methoxyisoflavanone / Sakuranetin / Vestitone"
"1711","false","[M-H]-1","-1","NA","373.114013671875","62.2666666666667","0.142","3","227241.644436151","100","F2","","62343","748","3736","373.114013671875","63140","95.01257","0.02380905","278.1014",0,1,1,0,0,0,0,0,0,0,278.1001673,4.57520779654824,2,0.5,"Biggest NL (One)","No matched algycone"
"172","false","[M-H]-1","-1","NA","429.119110107421","62.5166666666667","0.142","3","227241.644436151","100","F2","","63141","751","3751","429.1191101074219","64204","267.0665","0.04685973","162.0527",1,0,0,0,0,0,0,0,0,0,162.0528233,1.06257180587439,1,1,"Biggest NL (One)","Formononetin"
"173","false","[M-H]-1","-1","NA","459.093292236328","63.0166666666667","0.142","3","227241.644436151","100","F2","","64205","757","3781","459.0932922363281","64437","283.0611","0.3020033","176.0322",0,0,0,1,0,0,0,0,0,0,176.0320878,0.451260297300824,1,1,"Biggest NL (One)","2-Hydroxyformononetin / Wogonin / 5-Hydroxy-3-(4-Methoxyphenyl)-7-[3,4,5-Trihydroxy-6-[(3,4,5-Trihydroxy-6-Methyloxan-2-Yl)Oxymethyl]Oxan-2-Yl]Oxychromen-4-One-Aglycone / 7-O-Beta-Glucopyranosyl-4'-Hydroxy-5-Methoxyisoflavone-Aglycone / 3-(4-Hydroxyphenyl)-7-Methoxy-5-[(3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxychromen-4-One-Aglycone / Trifolirhizin-Aglycone"
"174","false","[M-H]-1","-1","NA","461.072540283203","63.2666666666667","0.142","3","227241.644436151","100","F2","","64438","760","3796","461.0725402832031","64823","285.0403","1","176.0322",0,0,0,1,0,0,0,0,0,0,176.0320878,0.786692334842003,1,1,"Biggest NL (One)","Isoorientin / 4-(3,4-Dihydroxyphenyl)-7-Hydroxy-5-[3,4,5-Trihydroxy-6-[(3,4,5-Trihydroxyoxan-2-Yl)Oxymethyl]Oxan-2-Yl]Oxychromen-2-One-Aglycone / Kaempferol / 7,8,3',4'-Tetrahydroxyflavone / Cyanidin-H"
"175","false","[M-H]-1","-1","NA","447.093292236328","63.5166666666667","0.142","3","227241.644436151","100","F2","","64824","763","3811","447.0932922363281","65193","285.04","1","162.0533",1,0,0,0,0,0,0,0,0,0,162.0528233,2.71476377170707,1,1,"Biggest NL (One)","Isoorientin / 4-(3,4-Dihydroxyphenyl)-7-Hydroxy-5-[3,4,5-Trihydroxy-6-[(3,4,5-Trihydroxyoxan-2-Yl)Oxymethyl]Oxan-2-Yl]Oxychromen-2-One-Aglycone / Kaempferol / 7,8,3',4'-Tetrahydroxyflavone / Cyanidin-H"
"176","...","...","...","...","...","...","...","...","...","...","...","...","64824","763","3811","447.0932922363281","65193","301.0341","0.01043866","146.0592",0,1,0,0,0,0,0,0,0,0,146.0579087,9.08218043162899,1,1," ","Tricetin / Quercetin"
