"","beginNum","scanNum","tr","pepmass","endNum","productIon","intensity","neutralLoss","Hex","dHex","Pen","HexA","Mal","Cou","Fur","Sin","DDMP","Caf","mzOfChain","ppm","numOfSugar","k.radio","lable"
"79231","136458","3029","310","925.29831198166","136871","161.0444","0.01946143","764.2539",3,1,1,0,0,0,0,0,0,0,764.2586372,6.23119946893843,5,0.2," "
"7682","136458","3029","310","925.29831198166","136871","163.039","0.1404012","762.2593",2,2,0,0,0,1,0,0,0,0,762.2582393,1.4413489024864,5,0.2," "
"66232","136872","3031","330","755.24040318272","137337","153.0546","0.01516343","602.1858",1,1,1,0,0,0,0,0,0,1,602.1846859,1.86866362370402,4,0.75,"Biggest NL (One)"
"30046","136872","3031","330","755.24040318272","137337","447.1507","0.02814184","308.0897",0,1,0,0,0,0,0,0,0,1,308.089604,0.250520302336034,2,0.5," "
"17175","136872","3031","330","755.24040318272","137337","461.1661","0.01672096","294.0743",0,0,1,0,0,0,0,0,0,1,294.0739539,1.02111189850758,2,0.5," "
"50066","137338","3032","340","537.16136501638","137845","213.0762","0.02105064","324.0851",1,0,0,0,0,0,0,0,0,1,324.0845186,1.86807827707085,2,0.5,"Biggest NL (One)"
"3865","138651","3034","360","483.15080033268","139071","59.01245","0.04641112","424.1383",0,1,1,0,0,1,0,0,0,0,424.1369426,3.31432582201157,3,0.6667,"Biggest NL (One)"
"37958","138651","3034","360","483.15080033268","139071","205.0498","0.01090402","278.101",0,1,1,0,0,0,0,0,0,0,278.1001673,2.91272863452014,2,0.5," "
"51317","139072","3036","380","593.1300648881","139485","285.0402","1","308.0899",1,0,0,0,0,1,0,0,0,0,308.0895986,0.981168480931567,2,0.5,"Biggest NL (One)"
"74571","139486","3038","400","739.18797368704","140041","151.0026","0.01981024","588.1854",2,0,2,0,0,0,0,0,0,0,588.1901638,8.11838078944064,4,0.25,"Biggest NL (One)"
"6362","139486","3038","400","739.18797368704","140041","285.0394","0.3353682","454.1486",1,1,0,0,0,1,0,0,0,0,454.1475073,2.30846718942838,3,0.3333," "
"51318","140800","3046","480","563.15588571312","141028","255.0658","1","308.0901",1,0,0,0,0,1,0,0,0,0,308.0895986,1.61677744711489,2,0.5,"Biggest NL (One)"
"3480","141029","3047","490","597.18249438378","141508","69.03315","0.01984958","528.1493",0,1,0,1,0,0,0,1,0,0,528.1479018,2.72382008267028,3,0.3333," "
"2193","141029","3047","490","597.18249438378","141508","83.04885","0.1013891","514.1336",0,0,1,1,0,0,0,1,0,0,514.1322517,2.70685219274434,3,0.3333," "
"5502","141029","3047","490","597.18249438378","141508","83.04885","0.1013891","514.1336",1,0,0,1,0,0,1,0,0,0,514.1322564,2.69771060057091,3,0.3333," "
"5812","141029","3047","490","597.18249438378","141508","97.02811","0.0571572","500.1544",1,0,1,0,0,0,0,1,0,0,500.1529872,2.7955043899587,3,0.6667,"Biggest NL (One)"
"7042","141029","3047","490","597.18249438378","141508","97.02811","0.0571572","500.1544",2,0,0,0,0,0,1,0,0,0,500.1529919,2.78610729132715,3,0.3333," "
"3500","141029","3047","490","597.18249438378","141508","99.04374","0.02423468","498.1388",0,1,0,1,0,0,1,0,0,0,498.1373418,2.83973845010429,3,0.3333," "
"3810","141029","3047","490","597.18249438378","141508","113.0231","0.07385845","484.1594",0,1,1,0,0,0,0,1,0,0,484.1580726,2.77756402454694,3,0.3333," "
"6327","141029","3047","490","597.18249438378","141508","113.0231","0.07385845","484.1594",1,1,0,0,0,0,1,0,0,0,484.1580773,2.76785647844885,3,0.3333," "
"25231","141029","3047","490","597.18249438378","141508","127.0388","0.1019212","470.1437",0,0,2,0,0,0,0,1,0,0,470.1424225,2.62235545643834,3,0.3333," "
"5832","141029","3047","490","597.18249438378","141508","127.0388","0.1019212","470.1437",1,0,1,0,0,0,1,0,0,0,470.1424272,2.61235851180954,3,0.3333," "
"50261","141029","3047","490","597.18249438378","141508","229.0713","0.07887966","368.1112",1,0,0,0,0,0,0,1,0,0,368.1107286,1.27348416285034,2,0.5," "
"38651","141509","3049","510","519.15080033268","141905","95.01245","0.01475697","424.1383",0,1,1,0,0,1,0,0,0,0,424.1369426,3.30961039511468,3,0.3333,"Biggest NL (One)"
"9801","141509","3049","510","519.15080033268","141905","167.0702","0.09916374","352.0806",0,0,0,1,0,0,1,0,0,0,352.0794331,3.36636729844837,2,0.5," "
"7878","141906","3050","520","901.24079710554","142289","151.0025","0.01512311","750.2383",3,0,2,0,0,0,0,0,0,0,750.2429871,6.2486738755099,5,0.2,"Biggest NL (One)"
"51319","142290","3051","530","471.12967096528","142569","163.0389","0.3259766","308.0908",1,0,0,0,0,1,0,0,0,0,308.0895986,3.8539460903113,2,0.5,"Biggest NL (One)"
"6137","142570","3052","540","755.24040318272","142886","123.0438","0.8090923","632.1966",1,0,2,0,0,0,0,1,0,0,632.1952458,2.11070853893037,4,0.25,"Biggest NL (One)"
"70221","142570","3052","540","755.24040318272","142886","225.0761","0.0211111","530.1643",2,0,0,0,0,0,0,1,0,0,530.1635519,1.34162705669032,3,0.3333," "
"7986","143157","3054","560","1063.29362052404","143449","151.0025","0.01634353","912.2911",4,0,2,0,0,0,0,0,0,0,912.2958104,5.14076686105569,6,0.1667,"Biggest NL (One)"
